id,category_id,name,one,unit,unit_value,hundred,measurement,note,created_at,updated_at
5,5,Amareto,0.5700,35,19.8000,56.6000,ml,35 ml = 1 shotglas,2021-04-26 17:21:46,2021-04-26 17:21:46
15,5,Bacardi Razz,0.1000,35,3.5000,10.0000,ml,35 ml = 1 shotglas,2021-04-26 17:21:46,2021-04-26 17:21:46
25,5,Baileys,0.2500,35,8.8000,25.0000,ml,35 ml = 1 shotglas,2021-04-26 17:21:46,2021-04-26 17:21:46
35,5,"Bier, alcoholvrij",0.0300,250,8.5000,3.4000,ml,250 ml = 1 flesje,2021-04-26 17:21:46,2021-04-26 17:21:46
45,5,"Bier, kriek",0.0300,250,8.0000,3.2000,ml,250 ml = 1 flesje,2021-04-26 17:21:46,2021-04-26 17:21:46
55,5,"Bier, pils",0.0300,250,8.5000,3.4000,ml,250 ml = 1 flesje,2021-04-26 17:21:46,2021-04-26 17:21:46
65,5,"Bier, trapist",0.0400,330,14.2000,4.3000,ml,330 ml = 1 flesje,2021-04-26 17:21:46,2021-04-26 17:21:46
75,5,Champagne,0.0100,100,1.4000,1.4000,ml,100 ml = 1 cava glas,2021-04-26 17:21:46,2021-04-26 17:21:46
85,5,"Cider bosvruchten 0,5% (Stasse®)",0.0700,100,6.8000,6.8000,ml,100 ml =  cava glas,2021-04-26 17:21:46,2021-04-26 17:21:46
95,5,Gin,0.0000,35,0.0000,0.0000,ml,35 ml = 1 shotglas,2021-04-26 17:21:46,2021-04-26 17:21:46
105,5,Jenever,0.0000,35,0.0000,0.0000,ml,35 ml = 1 shotglas,2021-04-26 17:21:46,2021-04-26 17:21:46
115,5,Malibu®,0.0000,35,0.0000,0.0000,ml,35 ml = 1 shotglas,2021-04-26 17:21:46,2021-04-26 17:21:46
125,5,Passoa®,0.3600,35,12.7000,36.3000,ml,35 ml = 1 shotglas,2021-04-26 17:21:46,2021-04-26 17:21:46
135,5,Porto,0.1000,75,7.5000,10.0000,ml,75 ml = 1 glas,2021-04-26 17:21:46,2021-04-26 17:21:46
145,5,Sangria wit/rood,0.1600,200,32.6000,16.3000,ml,200 ml = 1 glas,2021-04-26 17:21:46,2021-04-26 17:21:46
